FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1494	20160406_L_VC_ColF18_Exp17_01.mzML	6263.597870	6267.479652	8	1005.24	1088.27	83.0268	1005.24	5.4273e+07	1.88243e+07	8	11	4	0.973298	0.99712
1495	20160406_L_VC_ColF18_Exp17_01.mzML	7896.872202	7901.804590	4	2077.54	2150.93	73.3869	2150.93	3.98353e+07	1.87301e+07	6	14	9	0.968301	0.940575
1496	20160406_L_VC_ColF18_Exp17_01.mzML	6312.365502	6316.272648	3	889.827	909.742	19.9151	889.827	4.84983e+07	1.82284e+07	6	11	6	0.922627	0.923613
1497	20160406_L_VC_ColF18_Exp17_01.mzML	9219.976000	9225.688759	2	7517.07	7545.49	28.4192	7545.49	3.19284e+07	1.79927e+07	8	15	7	0.950755	0.96075
1498	20160406_L_VC_ColF18_Exp17_01.mzML	7877.880809	7882.799705	3	1780.92	1826.31	45.3848	1826.31	4.21941e+07	1.7725e+07	6	14	9	0.970282	0.973036
1499	20160406_L_VC_ColF18_Exp17_01.mzML	6962.371220	6966.757235	52	1575.79	1614.04	38.2499	1589.68	2.96817e+08	1.73331e+07	5	12	8	0.998408	0.989025
1500	20160406_L_VC_ColF18_Exp17_01.mzML	5745.589277	5749.159436	2	2419.53	2473.09	53.5599	2473.09	3.19512e+07	1.73306e+07	6	10	5	0.858572	0.978971
1501	20160406_L_VC_ColF18_Exp17_01.mzML	7891.847270	7896.779658	4	2062.3	2084.13	21.8287	2073.24	6.27378e+07	1.7149e+07	7	14	8	0.926071	0.961868
1502	20160406_L_VC_ColF18_Exp17_01.mzML	10457.582587	10464.110087	37	1259.7	1313.65	53.9509	1269.2	2.1839e+08	1.71475e+07	7	19	13	0.995415	0.995525
1503	20160406_L_VC_ColF18_Exp17_01.mzML	7894.888518	7899.820906	9	2061.05	2134.58	73.532	2112.53	9.59968e+07	1.70881e+07	6	14	9	0.94505	0.932884
1504	20160406_L_VC_ColF18_Exp17_01.mzML	10694.599908	10701.282557	2	6580.02	6625.13	45.1138	6580.02	2.71535e+07	1.69266e+07	9	15	6	0.865734	0.779091
1505	20160406_L_VC_ColF18_Exp17_01.mzML	7878.886910	7883.805806	40	1653.28	1692	38.7254	1662.17	3.2956e+08	1.68795e+07	6	14	9	0.975374	0.934456
1506	20160406_L_VC_ColF18_Exp17_01.mzML	7892.875561	7897.807949	5	2181.41	2217.46	36.0557	2188.92	6.67803e+07	1.67853e+07	6	14	9	0.951391	0.955168
1507	20160406_L_VC_ColF18_Exp17_01.mzML	5491.074287	5494.490120	5	809.62	820.927	11.3068	812.279	3.30224e+07	1.67682e+07	6	10	5	0.994707	0.981557
1508	20160406_L_VC_ColF18_Exp17_01.mzML	22955.708353	22970.083166	2	7127.06	7187.35	60.2864	7187.35	3.06329e+07	1.67563e+07	19	38	13	0.847234	0.804595
